"game_date","pitch_speed","player_name","events","home_team","away_team","inning_topbot","location_x","location_y","atBatTeam"
"2023-03-30",90.5,"Turner, Justin","single","BOS","BAL","Bot",-44.22,91.66,"BOS"
"2023-03-30",78.2,"Devers, Rafael","single","BOS","BAL","Bot",-76.26,91.08,"BOS"
"2023-03-30",91.1,"Hernández, Enrique","force_out","BOS","BAL","Bot",-11.21,42.29,"BOS"
"2023-03-30",89.7,"McGuire, Reese","single","BOS","BAL","Bot",19.05,87.31,"BOS"
"2023-03-30",92.2,"Casas, Triston","walk","BOS","BAL","Bot",NA,NA,"BOS"
"2023-03-30",80.3,"Duvall, Adam","single","BOS","BAL","Bot",-89.24,109.59,"BOS"
"2023-03-30",88.7,"Yoshida, Masataka","hit_by_pitch","BOS","BAL","Bot",NA,NA,"BOS"
"2023-03-30",90.4,"Turner, Justin","field_out","BOS","BAL","Bot",-8.41,44.52,"BOS"
"2023-03-30",82.1,"Devers, Rafael","double","BOS","BAL","Bot",73.13,122.78,"BOS"
"2023-03-30",84.2,"Verdugo, Alex","field_out","BOS","BAL","Bot",29.19,31.78,"BOS"
"2023-03-30",84.6,"Hernández, Enrique","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
"2023-03-30",87.7,"McGuire, Reese","field_out","BOS","BAL","Bot",-39.34,77.87,"BOS"
"2023-03-30",82.2,"Arroyo, Christian","field_out","BOS","BAL","Bot",-12.05,41.49,"BOS"
"2023-03-30",84.8,"Casas, Triston","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
"2023-03-30",87,"Duvall, Adam","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
"2023-03-30",79.7,"Duvall, Adam","field_out","BOS","BAL","Bot",-44.83,36.46,"BOS"
"2023-03-30",96.9,"Yoshida, Masataka","force_out","BOS","BAL","Bot",-5.63,46.36,"BOS"
"2023-03-30",84.2,"Yoshida, Masataka","field_out","BOS","BAL","Bot",29.19,45.13,"BOS"
"2023-03-30",90.8,"Arroyo, Christian","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
"2023-03-30",85.6,"Turner, Justin","single","BOS","BAL","Bot",-37.1,33.13,"BOS"
"2023-03-30",80.2,"Arroyo, Christian","double","BOS","BAL","Bot",-60.83,110.75,"BOS"
"2023-03-30",94.8,"Casas, Triston","sac_fly","BOS","BAL","Bot",18.74,109.43,"BOS"
"2023-03-30",99.2,"Devers, Rafael","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
"2023-03-30",95,"Duvall, Adam","hit_by_pitch","BOS","BAL","Bot",NA,NA,"BOS"
"2023-03-30",93.8,"Casas, Triston","field_out","BOS","BAL","Bot",23.31,22.96,"BOS"
"2023-03-30",95.3,"Yoshida, Masataka","single","BOS","BAL","Bot",84.22,80.94,"BOS"
"2023-03-30",92,"Turner, Justin","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
"2023-03-30",94.8,"Turner, Justin","walk","BOS","BAL","Bot",NA,NA,"BOS"
"2023-03-30",95.2,"Verdugo, Alex","single","BOS","BAL","Bot",-35.32,123.07,"BOS"
"2023-03-30",95.6,"Verdugo, Alex","field_out","BOS","BAL","Bot",40.06,37.2,"BOS"
"2023-03-30",97.2,"Tapia, Raimel","walk","BOS","BAL","Bot",NA,NA,"BOS"
"2023-03-30",93.1,"Duvall, Adam","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
"2023-03-30",96.8,"Hernández, Enrique","field_out","BOS","BAL","Bot",43.41,60.13,"BOS"
"2023-03-30",84.3,"Wong, Connor","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
"2023-03-30",83.3,"Devers, Rafael","field_out","BOS","BAL","Bot",25.55,29.96,"BOS"
"2023-03-30",96.1,"Wong, Connor","field_out","BOS","BAL","Bot",19.75,49.92,"BOS"
"2023-03-30",90.7,"Yoshida, Masataka","single","BOS","BAL","Bot",31.94,100.78,"BOS"
"2023-03-30",92.1,"Verdugo, Alex","triple","BOS","BAL","Bot",-31.01,144.7,"BOS"
"2023-04-01",96.5,"Casas, Triston","field_out","BOS","BAL","Bot",-35.97,132.81,"BOS"
"2023-04-01",90.8,"Duvall, Adam","home_run","BOS","BAL","Bot",-83.87,144.83,"BOS"
"2023-04-01",86.9,"Yoshida, Masataka","field_out","BOS","BAL","Bot",27.86,152.58,"BOS"
"2023-04-01",83.2,"Turner, Justin","double","BOS","BAL","Bot",-82.83,93.49,"BOS"
"2023-04-01",97.4,"Devers, Rafael","single","BOS","BAL","Bot",33.57,119.23,"BOS"
"2023-04-01",90.4,"Verdugo, Alex","home_run","BOS","BAL","Bot",71.2,154.08,"BOS"
"2023-04-01",94.5,"Hernández, Enrique","walk","BOS","BAL","Bot",NA,NA,"BOS"
"2023-04-01",79.1,"McGuire, Reese","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
"2023-04-01",80,"Arroyo, Christian","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
"2023-04-01",77.5,"Hernández, Enrique","home_run","BOS","BAL","Bot",-89.03,131.08,"BOS"
"2023-04-01",91.8,"Casas, Triston","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
"2023-04-01",77.2,"McGuire, Reese","field_out","BOS","BAL","Bot",20.64,48.18,"BOS"
"2023-04-01",96.9,"Casas, Triston","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
"2023-04-01",94.1,"Duvall, Adam","triple","BOS","BAL","Bot",22.4,161.17,"BOS"
"2023-04-01",98,"Hernández, Enrique","field_out","BOS","BAL","Bot",-30.49,96.75,"BOS"
"2023-04-01",97.7,"Duvall, Adam","double","BOS","BAL","Bot",96.34,99.59,"BOS"
"2023-04-01",83.6,"Yoshida, Masataka","field_out","BOS","BAL","Bot",21.66,26.3,"BOS"
"2023-04-01",78.3,"Arroyo, Christian","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
"2023-04-01",99.7,"Duvall, Adam","home_run","BOS","BAL","Bot",-66.2,130.61,"BOS"
"2023-04-01",99.3,"Yoshida, Masataka","field_error","BOS","BAL","Bot",-60.71,73.1,"BOS"
"2023-04-01",85.5,"Yoshida, Masataka","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
"2023-04-01",90.8,"Yoshida, Masataka","field_out","BOS","BAL","Bot",21.6,45.06,"BOS"
"2023-04-01",89.6,"Casas, Triston","walk","BOS","BAL","Bot",NA,NA,"BOS"
"2023-04-01",99.7,"Turner, Justin","field_out","BOS","BAL","Bot",-8.81,50.72,"BOS"
"2023-04-01",98.3,"McGuire, Reese","field_out","BOS","BAL","Bot",25.72,29.86,"BOS"
"2023-04-01",90.7,"Turner, Justin","field_out","BOS","BAL","Bot",63.27,110.67,"BOS"
"2023-04-01",85.1,"Turner, Justin","single","BOS","BAL","Bot",-30.62,90.53,"BOS"
"2023-04-01",91.2,"Turner, Justin","hit_by_pitch","BOS","BAL","Bot",NA,NA,"BOS"
"2023-04-01",96.3,"Hernández, Enrique","hit_by_pitch","BOS","BAL","Bot",NA,NA,"BOS"
"2023-04-01",96,"Devers, Rafael","single","BOS","BAL","Bot",-23.6,74.92,"BOS"
"2023-04-01",94.4,"Verdugo, Alex","field_out","BOS","BAL","Bot",29.78,45.63,"BOS"
"2023-04-01",93.9,"Duvall, Adam","field_out","BOS","BAL","Bot",-20.83,97.51,"BOS"
"2023-04-01",86.7,"Devers, Rafael","field_out","BOS","BAL","Bot",-72.15,80.6,"BOS"
"2023-04-01",98.2,"Arroyo, Christian","field_out","BOS","BAL","Bot",80.86,108.03,"BOS"
"2023-04-01",97.6,"McGuire, Reese","field_out","BOS","BAL","Bot",-12.37,54.28,"BOS"
"2023-04-01",96.5,"Devers, Rafael","double","BOS","BAL","Bot",-74.78,76.69,"BOS"
"2023-04-01",88.4,"Devers, Rafael","strikeout","BOS","BAL","Bot",NA,NA,"BOS"
